transaction_id,sender_account,receiver_account,timestamp,amount,transaction_type,merchant_category,location,is_fraud,is_synthetic,anomaly_type
USER_TRAIN_1065_NORM_797,USER_TRAIN_1065,MERCHANT_81,2024-05-31 06:29:34.436526,226823.16,withdrawal,shopping,Bandung,0,1,none
USER_TRAIN_1065_NORM_1164,USER_TRAIN_1065,MERCHANT_51,2024-08-01 16:22:27.238328,464417.79,withdrawal,utilities,Bandung,0,1,none
USER_TRAIN_1065_NORM_673,USER_TRAIN_1065,MERCHANT_12,2024-05-01 16:56:05.326187,256453.71,withdrawal,groceries,Surabaya,0,1,none
USER_ANOM_TRAIN_2089_VEL_306_3,USER_ANOM_TRAIN_2089,MERCHANT_275,2024-11-02 00:06:00.000000,34635.15,withdrawal,online_services,Online,1,1,velocity_attack
USER_TRAIN_1065_NORM_1186,USER_TRAIN_1065,MERCHANT_42,2024-06-07 19:56:11.294016,131345.83,withdrawal,shopping,Jakarta,0,1,none
USER_TRAIN_1065_NORM_1417,USER_TRAIN_1065,MERCHANT_75,2024-07-23 15:06:29.985755,201603.23,withdrawal,transport,Jakarta,0,1,none
USER_TRAIN_1065_NORM_1257,USER_TRAIN_1065,MERCHANT_44,2024-07-13 01:43:00.554046,434897.24,withdrawal,utilities,Bandung,0,1,none
USER_ANOM_TRAIN_2089_VEL_121_3,USER_ANOM_TRAIN_2089,MERCHANT_278,2024-05-01 00:06:00.000000,134233.98,withdrawal,online_services,Online,1,1,velocity_attack
USER_TRAIN_1065_NORM_1344,USER_TRAIN_1065,MERCHANT_55,2024-09-18 18:27:34.162341,463037.77,withdrawal,transport,Surabaya,0,1,none
USER_TRAIN_1065_NORM_1470,USER_TRAIN_1065,MERCHANT_64,2024-03-31 14:20:14.165151,418741.98,withdrawal,entertainment,Jakarta,0,1,none
USER_TRAIN_1065_NORM_1453,USER_TRAIN_1065,MERCHANT_69,2024-07-14 22:21:25.410876,468650.37,withdrawal,shopping,Surabaya,0,1,none
USER_TRAIN_1065_NORM_598,USER_TRAIN_1065,MERCHANT_22,2024-01-30 13:30:05.966047,464504.31,withdrawal,shopping,Jakarta,0,1,none
USER_ANOM_TRAIN_2089_VEL_372_1,USER_ANOM_TRAIN_2089,MERCHANT_204,2025-01-07 00:02:00.000000,108682.69,withdrawal,online_services,Online,1,1,velocity_attack
USER_TRAIN_1065_NORM_774,USER_TRAIN_1065,MERCHANT_20,2024-05-05 19:44:04.131366,115560.26,withdrawal,utilities,Surabaya,0,1,none
USER_TRAIN_1065_NORM_1397,USER_TRAIN_1065,MERCHANT_37,2024-04-06 06:40:04.491081,359684.18,withdrawal,groceries,Jakarta,0,1,none
USER_TRAIN_1065_NORM_756,USER_TRAIN_1065,MERCHANT_86,2024-06-04 21:37:51.984861,473483.19,withdrawal,utilities,Jakarta,0,1,none
USER_TRAIN_1065_NORM_1517,USER_TRAIN_1065,MERCHANT_22,2024-08-09 11:08:34.532679,444662.37,withdrawal,transport,Surabaya,0,1,none
USER_ANOM_TRAIN_2089_VEL_336_3,USER_ANOM_TRAIN_2089,MERCHANT_287,2024-12-02 00:06:00.000000,148229.02,withdrawal,online_services,Online,1,1,velocity_attack
USER_TRAIN_1065_NORM_9,USER_TRAIN_1065,MERCHANT_65,2024-01-02 00:34:33.242212,432742.13,withdrawal,shopping,Jakarta,0,1,none
USER_TRAIN_1065_NORM_1017,USER_TRAIN_1065,MERCHANT_66,2024-06-03 19:57:30.984722,223925.68,withdrawal,groceries,Surabaya,0,1,none
USER_TRAIN_1065_NORM_542,USER_TRAIN_1065,MERCHANT_74,2024-04-04 05:20:34.906693,136076.37,withdrawal,transport,Jakarta,0,1,none
USER_TRAIN_1065_NORM_1134,USER_TRAIN_1065,MERCHANT_64,2024-06-24 18:43:26.930350,88151.07,withdrawal,utilities,Bandung,0,1,none
USER_TRAIN_1065_NORM_1502,USER_TRAIN_1065,MERCHANT_60,2024-05-21 06:10:20.554762,295044.84,withdrawal,groceries,Surabaya,0,1,none
USER_ANOM_TRAIN_2089_VEL_218_0,USER_ANOM_TRAIN_2089,MERCHANT_279,2024-08-06 00:00:00.000000,127742.62,withdrawal,online_services,Online,1,1,velocity_attack
USER_ANOM_TRAIN_2089_GEO_174,USER_ANOM_TRAIN_2089,MERCHANT_214,2024-01-15 12:09:00.000000,608953.68,withdrawal,travel_agency,Lagos,1,1,geo_anomaly
