content_id,title,category,topic,target_behavior
1,Cara Mengelola Pengeluaran Harian,budgeting,pengeluaran,spender
2,Panduan Menabung Otomatis di Rekening Khusus,saving,tabungan,"saver, balanced"
3,Investasi Dasar untuk Pemula,investing,investasi,"saver, balanced"
4,Cara Menghindari Impulse Buying,mindset,konsumsi bijak,spender
5,Mengenal Aturan 50/30/20,budgeting,alokasi keuangan,"spender, saver, balanced"
6,Membuat Dana Darurat,saving,darurat,saver
7,Tips Hemat Belanja Bulanan,budgeting,pengeluaran rumah tangga,spender
8,Cara Membuat Budget Bulanan,budgeting,perencanaan,balanced
9,Pentingnya Catatan Keuangan Pribadi,habit,tracking,"spender, balanced"
10,Langkah Awal Investasi Reksadana,investing,reksadana,saver
11,Tips Menentukan Prioritas Keuangan,mindset,prioritas,"spender, balanced"
12,Cara Menyusun Tujuan Finansial Jangka Panjang,planning,tujuan keuangan,balanced
13,Menabung Gaya Mahasiswa,saving,tips mahasiswa,spender
14,Membedakan Kebutuhan vs Keinginan,mindset,konsumsi,spender
15,Tips Hindari Cicilan yang Mengganggu Cashflow,debt,hutang,spender
16,Panduan Investasi Saham Pemula,investing,saham,saver
17,Cara Mengatur Keuangan Freelance,budgeting,freelancer,balanced
18,Menabung dengan Target Harian,saving,habit saving,spender
19,Gunakan Aplikasi Pencatatan Keuangan,tool,tracking,"spender, balanced"
20,Cara Cerdas Mengelola THR,seasonal,uang musiman,spender
21,Strategi Kelola Uang Saat Gajian,budgeting,awal bulan,"spender, balanced"
22,Tips Liburan Tanpa Boros,lifestyle,pengeluaran hiburan,spender
23,Mulai Investasi dari Uang Nongkrong,investing,kebiasaan,"spender, balanced"
24,Tips Finansial untuk Pasangan Muda,relationship,keuangan pasangan,balanced
25,Mengenal Risiko dalam Investasi,investing,manajemen risiko,saver
26,Strategi Atur Uang untuk Pelajar,budgeting,pelajar,spender
27,Mengatur Keuangan dengan Envelope System,method,alokasi manual,balanced
28,Checklist Keuangan di Awal Tahun,planning,resolusi,"saver, balanced"
29,Tips Beli Gadget Tanpa Merusak Keuangan,lifestyle,pengeluaran besar,spender
30,Perencanaan Pensiun Sejak Dini,planning,pensiun,saver
31,Mulai Menabung dengan Metode 50/30/20,budgeting,alokasi keuangan,"spender, balanced"
32,Cara Efektif Mengurangi Pengeluaran Impulsif,mindset,pengendalian diri,spender
33,Membuat Anggaran Bulanan yang Realistis,planning,perencanaan keuangan,balanced
34,Pentingnya Dana Darurat dan Cara Membangunnya,saving,dana darurat,"saver, balanced"
35,Investasi untuk Pemula: Langkah Awal,investing,investasi dasar,saver
